==================================================
FAST STOCK FACT GENERATOR
==================================================
Stocks: 503
Resuming from 20
Loading mlx-community/Qwen2.5-1.5B-Instruct-4bit...
Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 40502.94it/s]
Ready!
--------------------------------------------------
[  2/503] AOS    ✓ ?               (6.5s)
[  3/503] ABT    ✗ Expecting value: line 1 column
[  5/503] ACN    ✗ Expecting value: line 1 column
[  6/503] ADBE   ✓ ?               (6.2s)
[  7/503] AMD    ✓ ?               (6.2s)
[ 10/503] A      ✓ ?               (6.4s)
[ 15/503] ARE    ✓ ?               (6.2s)
[ 17/503] ALLE   ✓ ?               (6.1s)
[ 18/503] LNT    ✓ ?               (5.9s)
[ 20/503] GOOGL  ✓ ?               (5.9s)
[ 21/503] GOOG   ✓ ?               (5.9s)
[ 22/503] MO     ✓ ?               (6.5s)
[ 23/503] AMZN   ✓ ?               (6.1s)
[ 25/503] AEE    ✓ ?               (6.3s)
[ 28/503] AIG    ✗ Expecting value: line 1 column
[ 30/503] AWK    ✓ ?               (6.1s)
[ 32/503] AME    ✓ ?               (6.3s)
[ 36/503] AON    ✓ ?               (6.2s)
[ 39/503] AAPL   ✓ ?               (6.2s)
[ 40/503] AMAT   ✓ ?               (6.0s)
[ 41/503] APP    ✓ ?               (6.1s)
[ 42/503] APTV   ✓ ?               (6.0s)
[ 43/503] ACGL   ✓ ?               (6.1s)
    >>> Saved 40 | ETA 24min <<<
[ 44/503] ADM    ✓ ?               (6.7s)
[ 45/503] ARES   ✓ ?               (6.3s)
[ 46/503] ANET   ✓ ?               (6.4s)
[ 47/503] AJG    ✗ Expecting value: line 1 column
[ 48/503] AIZ    ✓ ?               (6.3s)
[ 49/503] T      ✓ ?               (6.2s)
[ 50/503] ATO    ✓ ?               (6.1s)
[ 51/503] ADSK   ✓ ?               (6.2s)
[ 52/503] ADP    ✓ ?               (6.2s)
[ 53/503] AZO    ✓ ?               (6.2s)
[ 54/503] AVB    ✓ ?               (6.1s)
[ 55/503] AVY    ✓ ?               (6.2s)
[ 56/503] AXON   ✓ ?               (6.3s)
[ 57/503] BKR    ✓ ?               (6.2s)
[ 58/503] BALL   ✓ ?               (6.3s)
[ 59/503] BAC    ✓ ?               (6.1s)
[ 60/503] BAX    ✓ ?               (6.2s)
[ 61/503] BDX    ✓ ?               (6.1s)
[ 62/503] BRK-B  ✓ ?               (6.3s)
[ 63/503] BBY    ✓ Electronics Ret (6.2s)
[ 64/503] TECH   ✓ ?               (6.1s)
    >>> Saved 60 | ETA 19min <<<
[ 65/503] BIIB   ✓ ?               (6.4s)
[ 66/503] BLK    ✓ ?               (6.3s)
[ 67/503] BX     ✓ Private Equity  (5.8s)
[ 68/503] XYZ    ✓ ?               (6.3s)
